13,13101,千代田区
13,13102,中央区
13,13103,港区
13,13104,新宿区
13,13105,文京区
13,13106,台東区
13,13107,墨田区
13,13108,江東区
13,13109,品川区
13,13110,目黒区
13,13111,大田区
13,13112,世田谷区
13,13113,渋谷区
13,13114,中野区
13,13115,杉並区
13,13116,豊島区
13,13117,北区
13,13118,荒川区
13,13119,板橋区
13,13120,練馬区
13,13121,足立区
13,13122,葛飾区
13,13123,江戸川区
13,13201,八王子市
13,13202,立川市
13,13203,武蔵野市
13,13204,三鷹市
13,13205,青梅市
13,13206,府中市
13,13207,昭島市
13,13208,調布市
13,13209,町田市
13,13210,小金井市
13,13211,小平市
13,13212,日野市
13,13213,東村山市
13,13214,国分寺市
13,13215,国立市
13,13218,福生市
13,13219,狛江市
13,13220,東大和市
13,13221,清瀬市
13,13222,東久留米市
13,13223,武蔵村山市
13,13224,多摩市
13,13225,稲城市
13,13227,羽村市
13,13228,あきる野市
13,13229,西東京市
13,13303,西多摩郡瑞穂町
13,13305,西多摩郡日の出町
13,13307,西多摩郡檜原村
13,13308,西多摩郡奥多摩町
13,13361,大島町
13,13362,利島村
13,13363,新島村
13,13364,神津島村
13,13381,三宅島三宅村
13,13382,御蔵島村
13,13401,八丈島八丈町
13,13402,青ヶ島村
13,13421,小笠原村
